Location,Sq_Ft,Bedrooms,Bathrooms,Year_Built,Garage,Price
Nayapura,1620,2,2,1995,Yes,2771070
Dada bari,3195,2,1,2014,Yes,3652815
Vigyan Nagar,3114,2,3,2020,Yes,3564187
Keshav Pura,3476,5,2,2006,Yes,3015986
Nayapura,2166,5,3,1988,No,2753386
Keshav Pura,1937,5,3,1982,Yes,2636702
Vigyan Nagar,3466,5,2,2013,No,3477092
Vigyan Nagar,2849,2,3,2008,Yes,3459334
Dada bari,1536,1,3,2012,Yes,3539791
Keshav Pura,2250,4,1,1990,No,2620360
Vigyan Nagar,3237,2,2,2022,No,3415770
Gumanpura,2442,5,2,1980,Yes,2968214
Gumanpura,1574,3,2,1989,No,2774426
Gumanpura,1977,4,2,2009,Yes,3041353
Gumanpura,2125,1,1,1993,Yes,2875983
Vigyan Nagar,1360,2,3,1993,Yes,3089661
Nayapura,3348,4,1,1988,Yes,2973653
Nayapura,1852,2,1,1997,No,2617723
Nayapura,2432,3,2,1991,Yes,2851231
Keshav Pura,2161,5,3,1980,No,2583690
Dada bari,2772,1,2,2001,No,3524927
Nayapura,3053,2,3,2015,No,3122611
Keshav Pura,1416,2,3,2008,Yes,2617876
Keshav Pura,2853,3,3,1985,No,2698244
Dada bari,3408,3,3,2021,Yes,3807944
Gumanpura,2817,2,2,2015,No,2995702
Keshav Pura,1153,5,1,1982,No,2374184
Nayapura,3044,2,1,2009,Yes,3117543
Keshav Pura,2640,5,1,2007,No,2677043
Vigyan Nagar,1236,5,2,2000,Yes,3065023
Dada bari,1979,5,3,1983,No,3406439
Nayapura,3214,4,1,1992,No,2959871
Dada bari,2145,5,1,2012,Yes,3668238
Vigyan Nagar,2665,4,1,1980,No,3197145
Nayapura,3161,1,3,2020,No,2983241
Dada bari,2061,1,3,2009,Yes,3419631
Keshav Pura,1221,2,1,1980,No,2488584
Keshav Pura,3386,3,1,1999,No,2687978
Dada bari,1122,3,3,1997,No,3157042
Gumanpura,1344,2,1,2014,No,2905006
Nayapura,3292,4,1,2014,No,3142987
Gumanpura,2065,1,2,1991,No,2880512
Nayapura,3375,4,1,2009,No,2927027
Nayapura,1374,5,2,1986,No,2733226
Gumanpura,1295,4,3,2009,Yes,2936570
Vigyan Nagar,1419,5,3,1986,No,3041457
Nayapura,1358,4,1,2008,Yes,2882220
Vigyan Nagar,974,3,2,1986,No,3012168
Dada bari,3064,4,3,2015,No,3694593
Nayapura,2955,5,1,1994,No,2981488
Gumanpura,1142,2,1,1982,No,2760874
Gumanpura,1134,4,2,2005,No,2683776
Gumanpura,1093,5,3,2002,No,2769996
Vigyan Nagar,2422,5,3,1993,No,3247116
Dada bari,2748,1,3,1981,Yes,3537001
Vigyan Nagar,1983,4,1,1995,No,3162773
Gumanpura,2122,4,3,1990,No,2862855
Dada bari,1866,1,3,1983,Yes,3386220
Dada bari,3227,3,2,2021,Yes,3876271
Dada bari,2672,4,2,1995,No,3400196
Gumanpura,1242,1,3,2005,No,2704782
Nayapura,3340,2,1,2019,Yes,3156040
Vigyan Nagar,2786,5,2,2000,Yes,3479134
Vigyan Nagar,3227,5,1,2019,Yes,3693011
Dada bari,1123,3,3,1998,No,3163757
Nayapura,3040,4,1,2021,No,3072060
Dada bari,2032,1,2,1987,No,3390893
Keshav Pura,2411,4,1,1989,Yes,2780611
Nayapura,2743,1,1,2001,No,2871123
Vigyan Nagar,1126,1,3,2013,Yes,3207751
Gumanpura,1125,3,1,1987,No,2731430
Dada bari,1506,4,2,2016,Yes,3572519
Keshav Pura,2153,5,2,2022,No,2831140
Nayapura,3313,4,2,2011,Yes,3076393
Gumanpura,1266,2,2,2002,No,2666817
Nayapura,3470,3,2,1985,No,2982567
Gumanpura,2242,3,3,1997,No,2968240
Dada bari,2810,3,1,2016,Yes,3711888
Keshav Pura,1147,1,3,2018,No,2573155
Nayapura,1904,1,3,2011,Yes,2929464
Gumanpura,1180,2,3,2001,No,2822327
Nayapura,2208,5,1,1981,Yes,2992726
Gumanpura,2053,3,1,2018,No,2932630
Keshav Pura,2142,5,3,2010,Yes,2729830
Nayapura,1934,5,3,1999,Yes,2886580
Gumanpura,3247,4,3,1980,Yes,3205080
Nayapura,1377,5,2,2007,No,2781581
Gumanpura,1803,3,1,2005,Yes,2858943
Vigyan Nagar,1377,3,3,1984,Yes,3070489
Keshav Pura,2438,5,3,1981,Yes,2848918
Gumanpura,2920,1,1,1981,Yes,3023416
Nayapura,1267,5,2,2011,No,2685539
Vigyan Nagar,1172,1,2,2010,Yes,3144987
Vigyan Nagar,2850,5,2,1985,Yes,3445975
Nayapura,1876,4,1,2005,No,2837278
Dada bari,2782,1,3,1986,No,3474668
Gumanpura,2599,3,1,1988,No,2904883
Keshav Pura,2553,2,2,2009,No,2724008
Nayapura,3219,5,2,2002,No,3001282
Vigyan Nagar,2307,3,3,2011,No,3375715
Gumanpura,1977,3,2,2012,No,3038423
Dada bari,2687,2,1,2003,Yes,3451029
Vigyan Nagar,3200,4,1,1986,No,3422514
Keshav Pura,2246,5,1,1984,No,2693783
Dada bari,1041,5,1,1998,No,3220599
Vigyan Nagar,1087,2,1,2004,No,2916249
Keshav Pura,3149,2,3,2015,Yes,2987044
Vigyan Nagar,1849,3,3,2001,Yes,3335465
Vigyan Nagar,2907,2,3,2003,No,3234364
Vigyan Nagar,2803,5,3,1985,Yes,3445744
Vigyan Nagar,1440,1,3,2009,Yes,3257571
Nayapura,1385,4,1,2017,Yes,2892966
Dada bari,1020,3,2,2001,No,3215340
Vigyan Nagar,1922,1,2,2007,No,3092095
Keshav Pura,3403,4,1,2002,No,2680367
Dada bari,1657,2,2,1983,Yes,3446762
Gumanpura,2760,2,3,1986,No,3039640
Vigyan Nagar,1176,5,2,2014,Yes,3260536
Dada bari,2010,5,3,1998,No,3297846
Keshav Pura,1511,5,3,2018,Yes,2741387
Dada bari,2573,5,2,2010,No,3526262
Vigyan Nagar,2796,3,2,2016,Yes,3523398
Vigyan Nagar,1199,5,1,1998,No,3130089
Vigyan Nagar,2658,5,1,2018,Yes,3474391
Vigyan Nagar,1528,1,1,1991,No,2960938
Dada bari,2895,3,1,1995,No,3531656
Nayapura,1439,1,1,2002,Yes,2823868
Dada bari,1508,1,2,2009,No,3300350
Gumanpura,1849,5,1,2006,No,2917331
Dada bari,2138,1,2,2023,No,3622829
Dada bari,1740,5,2,1991,Yes,3378503
Dada bari,1704,5,2,2017,No,3469120
Nayapura,2407,2,3,1983,No,2830238
Gumanpura,2944,4,3,2008,Yes,3226206
Vigyan Nagar,1608,3,3,2007,Yes,3179048
Dada bari,2183,4,2,1994,Yes,3527962
Gumanpura,3329,5,1,2010,Yes,3288220
Dada bari,2673,5,1,2017,No,3541976
Vigyan Nagar,1419,4,1,2006,No,3099972
Dada bari,1218,4,2,2009,Yes,3506250
Vigyan Nagar,3353,4,3,2004,Yes,3478957
Vigyan Nagar,2862,3,3,1998,No,3228342
Dada bari,3267,5,2,2022,Yes,3851271
Dada bari,3055,4,2,2014,No,3589212
Vigyan Nagar,3428,1,1,1980,No,3394632
Gumanpura,1664,5,2,2003,Yes,2959936
Keshav Pura,2494,5,1,1986,No,2603605
Keshav Pura,1452,2,3,2018,No,2681832
Dada bari,1979,1,3,1999,Yes,3436175
Vigyan Nagar,1076,3,3,2021,Yes,3227612
Gumanpura,3278,4,1,1988,Yes,3233085
Keshav Pura,2336,3,2,2002,No,2683232
Gumanpura,2410,2,3,1980,Yes,3023664
Dada bari,2844,4,3,1980,Yes,3568282
Vigyan Nagar,1730,2,3,2011,No,3221297
Vigyan Nagar,1985,2,2,1995,Yes,3335108
Dada bari,2448,5,2,2023,Yes,3647128
Dada bari,2558,3,2,2009,No,3511176
Nayapura,1700,2,3,2010,No,2825052
Nayapura,1207,5,3,2018,No,2877028
Dada bari,1932,1,2,1985,No,3245068
Vigyan Nagar,1026,3,3,1985,Yes,3036937
Nayapura,1808,4,3,2000,Yes,2894175
Nayapura,2522,4,2,2010,No,2948047
Keshav Pura,1782,5,2,2017,No,2606286
Gumanpura,1751,4,3,1983,Yes,2950241
Nayapura,2254,4,2,2010,Yes,3006689
Keshav Pura,2817,4,3,1990,No,2711386
Vigyan Nagar,3424,1,2,2005,No,3362053
Dada bari,1325,3,3,2014,No,3400579
Keshav Pura,3445,2,2,2004,Yes,2880790
Dada bari,3063,5,3,2013,No,3728398
Gumanpura,1629,4,2,1986,No,2730722
Dada bari,2636,4,1,1984,Yes,3548752
Dada bari,2760,2,2,2023,Yes,3723686
Dada bari,2609,2,2,1999,Yes,3505370
Keshav Pura,2794,4,1,1996,Yes,2789689
Vigyan Nagar,2584,5,3,2004,No,3355122
Nayapura,2817,3,2,1988,No,2840396
Dada bari,3331,5,2,1994,Yes,3744269
Nayapura,1494,1,1,1991,No,2661980
Nayapura,1737,1,2,2017,Yes,3026972
Gumanpura,1942,5,3,1980,No,2956458
Keshav Pura,1749,1,1,2020,No,2647864
Vigyan Nagar,2898,3,2,2011,No,3404220
Gumanpura,2623,3,2,1993,Yes,2950134
Gumanpura,3357,2,1,2018,No,3086143
Keshav Pura,2352,2,2,1980,Yes,2601667
Vigyan Nagar,2044,4,3,2009,Yes,3376003
Dada bari,2985,3,3,1991,Yes,3680633
Nayapura,1527,1,3,1993,Yes,2736978
Keshav Pura,1729,3,3,1980,No,2601806
Keshav Pura,2220,3,3,2006,No,2580287
Nayapura,1502,1,3,2018,No,2789815
Vigyan Nagar,1449,2,1,2008,Yes,3176400
Dada bari,1775,3,2,2011,Yes,3493383
Gumanpura,1352,2,3,2022,Yes,2991087
Keshav Pura,3128,3,1,2003,Yes,2786156
Gumanpura,1353,4,3,2023,Yes,3075775
Gumanpura,2536,2,3,2000,Yes,3078416
Gumanpura,1880,2,3,1994,Yes,3015710
Dada bari,2659,3,1,2001,Yes,3561681
Vigyan Nagar,3447,3,2,1989,No,3345424
Dada bari,2336,3,3,1990,Yes,3480282
Keshav Pura,3244,3,2,2012,Yes,2893376
Nayapura,3179,2,2,2022,No,3111762
Nayapura,3215,5,1,1989,Yes,3140571
Keshav Pura,2588,1,1,1987,Yes,2717032
Nayapura,3379,2,3,1982,No,3034605
Gumanpura,3346,3,1,2015,No,3137839
Nayapura,2455,2,2,1995,No,2906892
Keshav Pura,2352,4,1,1982,Yes,2630086
Vigyan Nagar,2921,5,3,1984,Yes,3431196
Nayapura,1016,2,1,2022,Yes,2860960
Dada bari,3219,3,3,1990,No,3612101
Dada bari,3166,3,1,2007,No,3586327
Gumanpura,2878,1,1,1994,No,2943066
Keshav Pura,2632,3,1,1980,Yes,2796118
Vigyan Nagar,3342,5,2,1988,Yes,3427579
Keshav Pura,2256,4,3,1990,Yes,2732665
Nayapura,2170,5,1,1999,Yes,2851028
Keshav Pura,1529,1,1,1995,No,2413953
Dada bari,1020,2,1,2011,Yes,3462195
Gumanpura,1640,1,2,2023,Yes,3083867
Dada bari,2121,2,1,2022,Yes,3736696
Gumanpura,1199,5,3,2016,Yes,2968642
Vigyan Nagar,2076,1,2,2023,Yes,3486604
Keshav Pura,3016,5,2,2001,Yes,2869194
Gumanpura,3307,2,2,2016,Yes,3216399
Dada bari,1075,5,1,2015,Yes,3429037
Vigyan Nagar,2092,2,2,1986,Yes,3339743
Nayapura,2434,5,1,2017,No,3066253
Gumanpura,1815,5,3,2005,Yes,3009981
Dada bari,2103,1,3,2018,Yes,3674603
Gumanpura,2063,4,2,2008,No,2975560
Gumanpura,1294,1,3,1998,No,2727153
Keshav Pura,3001,5,3,2017,No,2892054
Vigyan Nagar,1256,3,2,2013,Yes,3304129
Dada bari,1159,3,3,2001,Yes,3287751
Dada bari,1348,3,2,2013,No,3363579
Dada bari,1460,4,3,1993,Yes,3404850
Gumanpura,2435,4,2,2018,No,3119375
Keshav Pura,1266,5,3,2000,No,2540339
Gumanpura,3438,5,2,2018,Yes,3382469
Nayapura,1993,3,3,1984,No,2735923
Keshav Pura,1222,4,1,2020,No,2688044
Gumanpura,2079,4,2,2016,No,2948195
Keshav Pura,2649,3,2,2022,Yes,2974955
Gumanpura,2506,1,1,2009,Yes,2996921
Gumanpura,2226,2,3,1987,No,2884522
Dada bari,3164,4,2,2021,Yes,3770058
Dada bari,1619,5,2,2019,No,3402298
Gumanpura,2147,2,3,1997,No,2892047
Dada bari,2340,2,1,1990,No,3478997
Vigyan Nagar,3308,4,3,2010,No,3448487
Vigyan Nagar,2072,5,2,2016,No,3259370
Keshav Pura,2406,1,1,2012,No,2699167
Vigyan Nagar,1688,2,3,2021,Yes,3301293
Vigyan Nagar,3083,4,3,1981,Yes,3392832
Keshav Pura,2409,5,3,2017,Yes,2921971
Vigyan Nagar,2914,4,3,2018,No,3418145
Keshav Pura,2832,5,3,2002,Yes,2754685
Gumanpura,1043,1,1,2017,Yes,2850236
Vigyan Nagar,1105,2,2,2007,Yes,3101974
Dada bari,2027,2,3,2010,Yes,3458738
Keshav Pura,2580,4,2,1991,No,2620592
Nayapura,1709,1,2,1983,No,2661831
Keshav Pura,1803,4,2,2014,No,2658909
Vigyan Nagar,1171,3,1,1986,Yes,3024108
Gumanpura,2047,1,2,2004,No,2836157
Vigyan Nagar,2469,1,1,2021,Yes,3434252
Vigyan Nagar,1303,3,1,1998,No,3045272
Nayapura,2484,3,1,1999,Yes,2922153
Dada bari,1210,2,2,2011,Yes,3423133
Dada bari,2473,1,3,2005,No,3430966
Gumanpura,1174,5,1,1994,Yes,2919705
Nayapura,1577,1,1,2021,Yes,2884177
Vigyan Nagar,2790,1,2,1983,Yes,3286269
Nayapura,1844,5,1,1980,Yes,2835480
Dada bari,2525,4,3,2006,Yes,3602498
Nayapura,2816,3,2,1992,Yes,2930116
Keshav Pura,1356,5,1,2018,Yes,2736537
Keshav Pura,2284,3,2,2005,Yes,2675564
Vigyan Nagar,2080,1,1,1987,Yes,3259727
Keshav Pura,2768,2,2,2007,No,2618151
Dada bari,1741,4,2,2010,Yes,3470114
Keshav Pura,3418,4,1,1994,No,2851454
Nayapura,2491,3,1,1996,No,2795798
Nayapura,1264,3,1,1987,Yes,2682256
Gumanpura,1955,3,2,2012,Yes,2956934
Keshav Pura,2602,4,3,2009,No,2762274
Nayapura,2962,3,3,2008,Yes,2993262
Nayapura,1297,5,3,2000,No,2610957
Dada bari,2580,2,1,2015,Yes,3560845
Vigyan Nagar,3218,5,1,2013,Yes,3469577
Keshav Pura,2953,3,3,2001,Yes,2793885
Gumanpura,1717,3,3,1992,Yes,2984699
Keshav Pura,3346,4,3,2003,No,2860260
Nayapura,1839,1,1,2010,Yes,2942469
Dada bari,2605,5,3,1984,No,3563519
Vigyan Nagar,1679,3,2,1984,No,3053438
Nayapura,1008,4,3,1986,Yes,2769285
Gumanpura,1306,2,1,2023,Yes,3061913
Keshav Pura,3233,4,3,1987,No,2700850
Gumanpura,2775,4,3,2003,No,2944915
Gumanpura,1468,4,1,1984,Yes,2813637
Vigyan Nagar,1113,1,2,2004,No,3095971
Dada bari,2382,5,1,2014,Yes,3639521
Nayapura,2552,1,1,2014,No,2967870
Gumanpura,1150,2,2,1986,No,2643932
Gumanpura,1295,3,1,2004,No,2806048
Keshav Pura,2562,2,3,2017,No,2823744
Keshav Pura,2571,2,3,1980,Yes,2738846
Gumanpura,2766,2,3,1992,Yes,3038581
Keshav Pura,2948,5,2,1995,No,2623200
Nayapura,2050,5,3,1984,No,2718880
Gumanpura,2441,1,1,2021,Yes,3121579
Dada bari,1716,4,2,1982,Yes,3505505
Keshav Pura,1382,1,1,1987,Yes,2456918
Keshav Pura,2443,1,3,2019,No,2804980
Gumanpura,2692,4,3,2007,No,2941595
Keshav Pura,2210,5,2,2023,No,2884171
Vigyan Nagar,1314,3,2,2016,No,3146392
Gumanpura,2818,2,3,1987,Yes,3015382
Keshav Pura,2738,4,2,2017,Yes,2905110
Vigyan Nagar,2849,5,2,2002,No,3299400
Gumanpura,2424,3,1,2012,No,2934045
Keshav Pura,1953,1,2,1994,Yes,2551645
Vigyan Nagar,1902,2,3,1999,Yes,3223750
Dada bari,1998,2,1,2006,Yes,3367060
Dada bari,2518,4,1,1999,No,3446153
Nayapura,3449,4,3,2015,No,3040320
Keshav Pura,1022,3,3,2022,Yes,2694027
Gumanpura,1986,1,2,2022,Yes,3071383
Keshav Pura,2619,3,2,1988,No,2656823
Keshav Pura,2994,1,2,2014,No,2698831
Dada bari,2985,3,1,2013,No,3589792
Keshav Pura,1938,3,1,1999,Yes,2634729
Keshav Pura,2298,2,1,2006,No,2549798
Dada bari,2901,5,3,1985,Yes,3591385
Dada bari,3121,5,2,2011,Yes,3639808
Nayapura,2123,5,1,1997,Yes,2858190
Vigyan Nagar,2349,5,1,2009,No,3248392
Nayapura,2357,3,3,1989,Yes,2851136
Dada bari,1734,4,1,1999,No,3228688
Vigyan Nagar,2793,4,2,2017,Yes,3448550
Gumanpura,2142,3,1,2016,No,2912704
Vigyan Nagar,2309,4,1,2004,Yes,3214951
Vigyan Nagar,978,4,3,1998,Yes,3218224
Dada bari,2046,3,1,2021,No,3605592
Vigyan Nagar,2570,5,3,2001,No,3303926
Dada bari,2042,5,3,2019,No,3543913
Dada bari,1451,2,3,2012,Yes,3494220
Gumanpura,1064,2,3,2007,No,2820025
Keshav Pura,1839,4,2,1998,Yes,2549950
Vigyan Nagar,2631,4,3,2004,No,3293448
Keshav Pura,1477,1,1,2003,Yes,2603834
Nayapura,3017,3,3,2005,No,2965052
Dada bari,1230,3,3,1997,Yes,3269997
Nayapura,1415,1,1,1998,Yes,2762082
Nayapura,3410,2,2,1991,No,3019883
Keshav Pura,3145,4,1,1993,No,2762876
Keshav Pura,3414,4,1,2006,Yes,2856740
Vigyan Nagar,2657,1,2,2006,No,3167634
Gumanpura,1371,4,1,1984,No,2820747
Gumanpura,1439,2,2,1986,Yes,2920607
Gumanpura,1094,3,3,2001,No,2802810
Keshav Pura,1385,3,1,2002,Yes,2541284
Vigyan Nagar,1174,1,3,2019,No,3114065
Nayapura,1794,2,2,2018,No,2943756
Nayapura,1930,3,2,1997,Yes,2858704
Keshav Pura,1250,1,3,2012,No,2576131
Keshav Pura,2611,1,3,1986,No,2655850
Dada bari,1928,2,2,2011,Yes,3424152
Gumanpura,1976,3,1,2010,No,2944480
Gumanpura,2416,2,3,2021,Yes,3115983
Dada bari,981,4,3,2017,No,3371258
Keshav Pura,1537,4,1,1984,Yes,2515439
Dada bari,3288,5,2,1987,No,3530930
Gumanpura,2132,2,1,2019,No,3032336
Gumanpura,2450,3,2,1988,Yes,3045936
Gumanpura,2551,3,3,2021,No,3129462
Dada bari,2481,4,2,2023,Yes,3715595
Keshav Pura,1590,1,3,2021,No,2744274
Keshav Pura,1809,1,3,2007,Yes,2690019
Dada bari,1542,1,1,2004,Yes,3280235
Vigyan Nagar,1210,1,2,2016,Yes,3322079
Dada bari,1351,1,2,1991,Yes,3352614
Vigyan Nagar,1389,2,3,2010,Yes,3194547
Keshav Pura,3051,3,3,1998,Yes,2776902
Keshav Pura,1702,3,3,1986,Yes,2628045
Dada bari,1078,4,1,1996,Yes,3340513
Vigyan Nagar,2088,5,1,2021,Yes,3486370
Vigyan Nagar,2656,2,2,2001,Yes,3424861
Vigyan Nagar,3099,4,2,2006,No,3385388
Keshav Pura,2822,4,3,1990,Yes,2762921
Gumanpura,1354,2,2,2003,No,2725243
Keshav Pura,1681,1,1,2011,Yes,2650295
Keshav Pura,1121,3,2,2008,Yes,2649131
Gumanpura,1353,4,2,1983,Yes,2962203
Keshav Pura,1932,3,3,2001,Yes,2603848
Vigyan Nagar,3315,3,3,2019,Yes,3604962
Nayapura,1621,5,3,1999,Yes,2866902
Keshav Pura,2011,4,1,2003,No,2629041
Vigyan Nagar,3112,4,2,2007,No,3465111
Keshav Pura,3257,3,2,1980,Yes,2869089
Nayapura,2616,1,3,2020,Yes,3059928
Gumanpura,1747,2,3,2020,Yes,3016377
Gumanpura,1663,1,2,2011,Yes,2936030
Vigyan Nagar,2575,2,3,1986,Yes,3262556
Gumanpura,3153,2,2,1984,Yes,3137007
Dada bari,3050,5,1,2008,No,3596210
Nayapura,2975,4,3,1989,No,2840634
Gumanpura,3148,3,2,2008,No,3009038
Gumanpura,2356,2,3,2013,No,2970227
Keshav Pura,965,1,2,2002,Yes,2541277
Dada bari,1199,4,2,2009,Yes,3484811
Dada bari,3280,2,3,1980,No,3550110
Keshav Pura,1608,4,2,2001,No,2408157
Gumanpura,969,3,3,2010,No,2735882
Keshav Pura,1231,3,3,2019,No,2633082
Keshav Pura,2433,5,3,2015,Yes,2859803
Gumanpura,2393,1,1,1996,Yes,3002845
Keshav Pura,3147,2,2,2000,Yes,2869415
Dada bari,1100,3,1,2016,Yes,3406641
Keshav Pura,2564,4,2,1981,Yes,2765956
Dada bari,1763,3,3,1999,No,3255776
Dada bari,2646,1,3,2004,Yes,3495171
Vigyan Nagar,3257,2,1,1996,No,3325812
Keshav Pura,2841,3,2,1999,Yes,2866851
Vigyan Nagar,2710,2,3,1991,No,3259791
Keshav Pura,2623,2,3,1982,Yes,2652686
Gumanpura,2857,4,3,2004,No,3014623
Gumanpura,2659,4,3,2004,Yes,3001000
Keshav Pura,3192,2,3,1986,Yes,2757352
Dada bari,1897,2,2,2012,No,3323863
Keshav Pura,2718,3,1,1997,No,2721086
Keshav Pura,3437,5,3,1999,No,2842812
Nayapura,3473,2,2,2007,No,2962419
Dada bari,1644,3,2,2017,No,3509784
Dada bari,2722,5,3,2016,No,3562559
